2026-07-06 10:55:22.831086: [*] Connected by ('127.0.0.1', 49296)
2026-07-06 10:55:25.733687: [*] Received data from ('127.0.0.1', 49296): user
2026-07-06 10:55:41.705215: [*] Received password from ('127.0.0.1', 49296): 331

2026-07-06 10:56:17.382482: [*] Received data from ('127.0.0.1', 49296): 
2026-07-06 10:56:40.477422: [*] Received data from ('127.0.0.1', 49296): user
2026-07-06 10:56:41.301728: [*] Received password from ('127.0.0.1', 49296): 

2026-07-06 10:57:18.665440: [*] Received data from ('127.0.0.1', 49296): 
2026-07-06 10:57:21.442948: [*] Received data from ('127.0.0.1', 49296): user
2026-07-06 10:57:22.585120: [*] Received password from ('127.0.0.1', 49296): 

2026-07-06 10:57:24.409049: [*] Received data from ('127.0.0.1', 49296): 
2026-07-06 10:57:27.421956: [*] Received data from ('127.0.0.1', 49296): user
2026-07-06 10:57:29.985747: [*] Received password from ('127.0.0.1', 49296): u

2026-07-06 10:57:29.985891: [*] ('127.0.0.1', 49296) has exceeded the maximum number of attempts. Closing connection
2026-07-06 10:57:29.985937: [*] Connection with ('127.0.0.1', 49296) closed.
